SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-3),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-3),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia nifH Gene (x106 copies m-3),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-3),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes,Gamma A nifH Gene (x106 copies/m3),Gamma P nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3)
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-14,9.68,-48.33,45,420.0000,0.3,126.000 ,93.0000,0.0002,1300.0000,0.02,46.0000,0.01,26.4786,"Hemiaulus,Rhizosolenia",12.8000,0.01,,,,0.1280,152.607,27.30,35.90,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-14,9.68,-48.33,30,220.0000,0.3,66.000 ,74.0000,0.0002,660.0000,0.02,61.0000,0.01,13.8248,"Hemiaulus,Rhizosolenia",44.0000,0.01,,,,0.4400,80.265,27.40,35.90,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-14,9.68,-48.33,15,2000.0000,0.3,600.000 ,230.0000,0.0002,490.0000,0.02,140.0000,0.01,11.2460,"Hemiaulus,Rhizosolenia",102.0000,0.01,,,,1.0200,612.266,27.40,35.90,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-14,9.68,-48.33,5,81.0000,0.3,24.300 ,12.0000,0.0002,260.0000,0.02,6.2000,0.01,5.2644,"Hemiaulus,Rhizosolenia",25.4000,0.01,,,,0.2540,29.818,27.40,35.90,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-18,8.63,-56.19,80,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,Rhizosolenia,0.0000,0.01,,,,0.0000,0.000,26.30,36.20,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-18,8.63,-56.19,65,0.0000,0.3,0.000 ,0.0000,0.0002,0.0100,0.02,0.0100,0.01,0.0003,Hemiaulus,0.1200,0.01,,,,0.0012,0.002,27.00,36.30,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-18,8.63,-56.19,45,0.0000,0.3,0.000 ,0.0100,0.0002,0.0100,0.02,0.0000,0.01,0.0002,Hemiaulus,0.1300,0.01,,,,0.0013,0.002,27.00,36.00,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-18,8.63,-56.19,25,0.0000,0.3,0.000 ,0.0000,0.0002,0.0100,0.02,0.0000,0.01,0.0002,Hemiaulus,1.9000,0.01,,,,0.0190,0.019,27.70,35.10,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-18,8.63,-56.19,10,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,Hemiaulus,0.9100,0.01,,,,0.0091,0.009,27.60,31.50,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-18,8.63,-56.19,0,11.0000,0.3,3.300 ,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,"Hemiaulus,Rhizosolenia",2.7200,0.01,,,,0.0272,3.327,27.60,31.40,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-20,10.87,-54.98,70,3.7000,0.3,1.110 ,0.0100,0.0002,0.0100,0.02,0.0100,0.01,0.0003,"Hemiaulus,Rhizosolenia",2.5000,0.01,,,,0.0250,1.135,26.50,36.20,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-20,10.87,-54.98,45,2.1000,0.3,0.630 ,0.0000,0.0002,0.0000,0.02,3.2000,0.01,0.0320,Hemiaulus,100.0000,0.01,,,,1.0000,1.662,26.90,36.10,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-20,10.87,-54.98,30,26.0000,0.3,7.800 ,0.4700,0.0002,0.1800,0.02,2.7000,0.01,0.0307,"Hemiaulus,Rhizosolenia",31.4000,0.01,,,,0.3140,8.145,27.30,35.00,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-20,10.87,-54.98,15,55.0000,0.3,16.500 ,1.4000,0.0002,0.1500,0.02,4.1000,0.01,0.0443,"Hemiaulus,Rhizosolenia",150.2300,0.01,,,,1.5023,18.047,27.70,32.60,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-04-20,11.37,-54.02,15,0.0000,0.3,0.000 ,0.0100,0.0002,0.2400,0.02,0.5800,0.01,0.0106,"Hemiaulus,Rhizosolenia",0.0000,0.01,,,,0.0000,0.011,26.90,35.90,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-04-21,10.78,-52.28,10,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,0.0000,0.01,,,,0.0000,0.000,26.70,36.30,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-04-24,7.40,-50.19,20,0.0000,0.3,0.000 ,0.0560,0.0002,0.5500,0.02,70.0000,0.01,0.7110,Hemiaulus,6000.0000,0.01,,,,60.0000,60.711,26.70,35.00,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-04-25,8.86,-52.18,0,0.2500,0.3,0.075 ,3.4000,0.0002,0.6800,0.02,41.0000,0.01,0.4243,Hemiaulus,19.0000,0.01,,,,0.1900,0.689,27.80,31.90,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-04-30,12.99,-55.96,5,39.0000,0.3,11.700 ,0.0000,0.0002,2.9000,0.02,0.0140,0.01,0.0581,Hemiaulus,9900.4800,0.01,,,,99.0048,110.763,27.20,34.70,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-03,7.90,-55.35,10,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,Rhizosolenia,0.0000,0.01,,,,0.0000,0.000,27.80,33.80,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-05,10.39,-56.20,10,0.4900,0.3,0.147 ,0.0100,0.0002,0.0100,0.02,1.5000,0.01,0.0152,Hemiaulus,6000.0000,0.01,,,,60.0000,60.162,27.60,33.40,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-06,12.11,-56.05,20,0.1700,0.3,0.051 ,0.1500,0.0002,13.0000,0.02,13.0000,0.01,0.3900,Hemiaulus,41.1000,0.01,,,,0.4110,0.852,27.50,34.80,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-17,7.64,-54.14,0,0.6400,0.3,0.192 ,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,"Hemiaulus,Rhizosolenia",10.2700,0.01,,,,0.1027,0.295,27.40,26.90,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-19,10.13,-57.37,5,0.0930,0.3,0.028 ,0.1500,0.0002,0.0000,0.02,0.0000,0.01,0.0000,"Hemiaulus,Rhizosolenia",0.3500,0.01,,,,0.0035,0.031,27.50,31.70,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Needoba et al. (2007), doi:10.4319/lo.2007.52.4.1317",qPCR,2005-10-25,34.00,-129.00,10,,,,7.2736,0.0002,0.0184,0.02,0.0000,0.01,0.0018,,,,,,,,0.002,19.34,33.43,0.007,0.132,0.0938,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Needoba et al. (2007), doi:10.4319/lo.2007.52.4.1317",qPCR,2005-10-25,34.00,-129.00,20,,,,4.5158,0.0002,0.3395,0.02,0.0000,0.01,0.0077,,,,,,,,0.008,19.33,33.46,0.009,0.122,0.0925,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Needoba et al. (2007), doi:10.4319/lo.2007.52.4.1317",qPCR,2005-10-25,34.00,-129.00,40,,,,10.3044,0.0002,1.5823,0.02,0.7500,0.01,0.0412,,,,,,,,0.041,19.12,33.49,0.007,0.111,0.0762,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Needoba et al. (2007), doi:10.4319/lo.2007.52.4.1317",qPCR,2005-10-25,34.00,-129.00,60,,,,5.7667,0.0002,0.1871,0.02,0.0369,0.01,0.0053,,,,,,,,0.005,16.54,33.48,0.009,0.093,0.0783,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Needoba et al. (2007), doi:10.4319/lo.2007.52.4.1317",qPCR,2005-10-25,34.00,-129.00,80,,,,0.1220,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,0.000,15.31,33.52,0.008,0.114,0.0798,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Needoba et al. (2007), doi:10.4319/lo.2007.52.4.1317",qPCR,2005-10-25,34.00,-129.00,100,,,,0.0000,0.0002,0.3569,0.02,0.0000,0.01,0.0071,,,,,,,,0.007,14.66,33.56,0.045,0.137,0.1085,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009a), doi:10.4319/lo.2009.54.1.0219",qPCR,2005-09-06,34.93,29.47,40,100.0000,0.3,30.000 ,,,,,,,,,,,,,,,30.000,,,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009a), doi:10.4319/lo.2009.54.1.0219",qPCR,2005-09-06,34.93,29.47,60,1000.0000,0.3,300.000 ,,,,,,,,,,,,,,,300.000,,,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009a), doi:10.4319/lo.2009.54.1.0219",qPCR,2005-09-06,34.93,29.47,80,0.0000,0.3,0.000 ,,,,,,,,,,,,,,,0.000,,,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009a), doi:10.4319/lo.2009.54.1.0219",qPCR,2005-09-07,34.90,29.38,20,0.0000,0.3,0.000 ,,,,,,,,,,,,,,,0.000,,,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009a), doi:10.4319/lo.2009.54.1.0219",qPCR,2005-09-07,34.90,29.38,100,0.0000,0.3,0.000 ,,,,,,,,,,,,,,,0.000,,,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009a), doi:10.4319/lo.2009.54.1.0219",qPCR,2005-09-07,34.90,29.38,0,0.0000,0.3,0.000 ,,,,,,,,,,,,,,,0.000,,,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-07,1.50,6.00,1,21.0000,0.3,6.300 ,0.0000,0.0002,0.0100,0.02,,,0.0002,Hemiaulus,0.1860,0.01,,,,0.0019,6.302,28.00,33.40,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-07,1.50,6.00,40,,,,0.0000,0.0002,0.0000,0.02,,,0.0000,,0.0000,0.01,,,,0.0000,0.000,,,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-08,-0.50,6.00,1,0.4600,0.3,0.138 ,11.0000,0.0002,0.0100,0.02,,,0.0024,Hemiaulus,0.0800,0.01,,,,0.0008,0.141,25.60,35.60,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-08,-0.50,6.00,38,3.8100,0.3,1.143 ,0.4200,0.0002,0.0000,0.02,,,0.0001,Hemiaulus,0.3900,0.01,,,,0.0039,1.147,22.00,36.20,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-09,-1.74,8.00,0,0.0000,0.3,0.000 ,12.0000,0.0002,0.0000,0.02,,,0.0024,"Rhizosolenia, Hemiaulus",2.4800,0.01,Chaetoceros,1.6000,0.01,0.0408,0.043,25.10,36.20,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-10,-5.98,8.00,2,8.0000,0.3,2.400 ,0.0100,0.0002,0.0000,0.02,,,0.0000,Rhizosolenia,0.0100,0.01,Chaetoceros,0.5600,0.01,0.0057,2.406,26.70,33.80,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-10,-5.98,8.00,29,0.0830,0.3,0.025 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,0.0000,0.01,Chaetoceros,0.1000,0.01,0.0010,0.026,26.40,33.90,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-11,-5.62,5.85,0,25.0000,0.3,7.500 ,0.7000,0.0002,0.0000,0.02,,,0.0001,Rhizosolenia,11.0000,0.01,,0.0000,0.01,0.1100,7.610,26.50,33.10,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-12,-4.51,2.32,0,14.0000,0.3,4.200 ,0.0000,0.0002,0.0000,0.02,,,0.0000,Rhizosolenia,1.3000,0.01,,0.0000,0.01,0.0130,4.213,26.50,34.90,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-12,-4.51,2.32,39,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,0.0000,0.01,Chaetoceros,4.6000,0.01,0.0460,0.046,19.40,36.00,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-13,-2.00,2.33,0,0.3700,0.3,0.111 ,9.5000,0.0002,0.0100,0.02,,,0.0021,Rhizosolenia,0.0870,0.01,,0.0000,0.01,0.0009,0.114,25.30,35.80,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-13,-2.00,2.33,39,0.0370,0.3,0.011 ,7.2000,0.0002,0.0000,0.02,,,0.0014,Rhizosolenia,0.0420,0.01,Chaetoceros,4.2000,0.01,0.0424,0.055,21.50,35.80,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-14,0.53,2.33,0,17.0000,0.3,5.100 ,17.0000,0.0002,0.2000,0.02,,,0.0074,,0.0000,0.01,Chaetoceros,0.0100,0.01,0.0001,5.108,27.00,34.70,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-14,0.53,2.33,17,2.1000,0.3,0.630 ,5.9000,0.0002,0.0380,0.02,,,0.0019,,0.0000,0.01,Chaetoceros,0.0100,0.01,0.0001,0.632,26.90,34.70,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-14,0.53,2.33,36,0.0120,0.3,0.004 ,0.0000,0.0002,0.0100,0.02,,,0.0002,,0.0000,0.01,,0.0000,0.01,0.0000,0.004,19.60,36.00,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-15,3.52,2.33,1,46.0000,0.3,13.800 ,0.0000,0.0002,2.0000,0.02,,,0.0400,,0.0000,0.01,Chaetoceros,1.3000,0.01,0.0130,13.853,28.20,34.60,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-15,3.52,2.33,20,2.1000,0.3,0.630 ,0.0100,0.0002,5.2000,0.02,,,0.1040,,0.0000,0.01,Chaetoceros,1.4000,0.01,0.0140,0.748,28.20,34.60,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-15,3.52,2.33,39,6.7000,0.3,2.010 ,4.5000,0.0002,0.3300,0.02,,,0.0075,Rhizosolenia,0.0390,0.01,,0.0000,0.01,0.0004,2.018,25.40,35.90,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-15,4.51,2.34,1,61.0000,0.3,18.300 ,0.0000,0.0002,3.2000,0.02,,,0.0640,Rhizosolenia,1.7000,0.01,Chaetoceros,1.4000,0.01,0.0310,18.395,27.80,34.60,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-15,4.51,2.34,18,31.0000,0.3,9.300 ,0.0100,0.0002,0.9000,0.02,,,0.0180,Rhizosolenia,0.6000,0.01,,0.0000,0.01,0.0060,9.324,27.80,34.60,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-14,24.51,-109.00,50,0.0350,0.3,0.011 ,0.0000,0.0002,0.0000,0.02,,,0.0000,Hemiaulus,1.1617,0.01,,,,0.0116,0.022,21.74,34.63,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-14,24.51,-109.00,35,,,,0.0000,0.0002,1.0000,0.02,,,0.0200,"Rhizosolenia,Hemiaulus",1.4200,0.01,,,,0.0142,0.034,25.07,34.84,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-14,24.51,-109.00,25,,,,0.0000,0.0002,1.0000,0.02,,,0.0200,,,,,,,,0.020,26.28,34.87,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-14,24.51,-109.00,15,0.0000,0.3,0.000 ,0.0000,0.0002,1.0000,0.02,,,0.0200,"Rhizosolenia,Hemiaulus",1.7600,0.01,,,,0.0176,0.038,27.26,35.09,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-14,24.51,-109.00,5,3.1300,0.3,0.939 ,0.0000,0.0002,1.0000,0.02,,,0.0200,"Rhizosolenia,Hemiaulus",12.0488,0.01,,,,0.1205,1.079,28.83,34.99,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-14,24.51,-109.00,0,438.0000,0.3,131.400 ,0.0000,0.0002,1.0000,0.02,,,0.0200,"Rhizosolenia,Hemiaulus",9.6659,0.01,,,,0.0967,131.517,28.87,34.99,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-18,20.55,-106.55,55,,,,0.0000,0.0002,0.0000,0.02,,,0.0000,"Rhizosolenia,Hemiaulus",1.5414,0.01,,,,0.0154,0.015,25.96,34.89,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-18,20.55,-106.55,40,4.2100,0.3,1.263 ,0.0000,0.0002,1.0000,0.02,,,0.0200,,,,,,,,1.283,27.05,34.79,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-18,20.55,-106.55,30,0.5330,0.3,0.160 ,0.0000,0.0002,1.0000,0.02,,,0.0200,Hemiaulus,0.1540,0.01,,,,0.0015,0.181,28.02,34.60,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-18,20.55,-106.55,23,6.4500,0.3,1.935 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,,,,,1.935,28.47,34.33,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-18,20.55,-106.55,17,6.7600,0.3,2.028 ,0.0000,0.0002,0.0000,0.02,,,0.0000,Hemiaulus,1.0700,0.01,,,,0.0107,2.039,28.80,34.23,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-18,20.55,-106.55,10,15.6000,0.3,4.680 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,,,,,4.680,29.09,34.13,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-18,20.55,-106.55,6,24.8000,0.3,7.440 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,,,,,7.440,29.49,33.93,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-12,26.51,-110.31,75,,,,,,1.0000,0.02,,,0.0200,,,,,,,,0.020,,,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-12,26.51,-110.31,35,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,,,0.0000,Rhizosolenia,0.4060,0.01,,,,0.0041,0.004,18.67,34.70,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-12,26.51,-110.31,25,6.2100,0.3,1.863 ,0.0000,0.0002,1.0000,0.02,,,0.0200,,,,,,,,1.883,24.54,35.15,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-12,26.51,-110.31,15,,,,,,0.0000,0.02,,,0.0000,,,,,,,,0.000,,,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-12,26.51,-110.31,5,,,,0.0000,0.0002,0.0000,0.02,,,0.0000,Hemiaulus,0.0000,0.01,,,,0.0000,0.000,27.88,35.25,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-12,26.51,-110.31,0,,,,0.0000,0.0002,0.0000,0.02,,,0.0000,Hemiaulus,1.0900,0.01,,,,0.0109,0.011,27.94,35.25,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-15,24.51,-109.00,50,0.0000,0.3,0.000 ,,,0.0000,0.02,,,0.0000,"Rhizosolenia,Hemiaulus",0.3762,0.01,,,,0.0038,0.004,21.74,34.63,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-15,24.51,-109.00,35,,,,,,0.0000,0.02,,,0.0000,Hemiaulus,1.1800,0.01,,,,0.0118,0.012,25.07,34.84,,,,,,,,
