SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-2),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-2),UCYN-A nifH Gene (x106 copies m-2),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-2),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-2),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-2),Richelia Associated Species,Richelia nifH Gene (x106 copies m-2),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-2),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-2),Total Diazotrophic Biomass (mg C m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes,Proteobacteria nifH Gene (x106 copies/m2)
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-31,-21.55,178.30,149,11092.17,0.3,3327.65,8852.98,0.0002,5158.36,0.02,,,104.94,,,,,,,,3432.59,27.95,35.21,2.045,32.000,,0.10,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-04-02,-21.05,-177.77,150,15440.88,0.3,4632.26,0.93,0.0002,468.92,0.02,,,9.38,,,,,,,,4641.64,27.37,35.08,7.996,26.000,,0.12,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-04-03,-20.47,-173.55,148,21605.72,0.3,6481.72,35.68,0.0002,5115.66,0.02,,,102.32,,,,,,,,6584.04,27.74,35.50,7.507,89.000,,0.15,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-04-05,-20.00,-170.00,150,230.21,0.3,69.06,202.85,0.0002,3912.39,0.02,,,78.29,,,,,,,,147.35,27.92,35.21,2.731,131.000,,0.04,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-04-06,-17.50,-170.00,175,1143.64,0.3,343.09,0.41,0.0002,18475.16,0.02,,,369.50,,,,,,,,712.60,29.00,35.18,-0.110,144.000,,0.19,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-04-07,-15.00,-170.00,149,51088.54,0.3,15326.56,221.07,0.0002,29832.62,0.02,,,596.70,,,,,,,,15923.26,29.98,35.01,1.015,97.000,,0.10,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-04-08,-15.00,-173.75,169,29241.55,0.3,8772.46,37.70,0.0002,13011.61,0.02,,,260.24,,,,,,,,9032.70,29.48,35.13,0.106,111.000,,0.16,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-04-09,-15.00,-177.50,150,788.63,0.3,236.59,423.42,0.0002,22438.94,0.02,,,448.86,,,,,,,,685.45,29.15,35.08,-0.469,92.000,,0.05,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-04-10,-15.00,178.75,150,96271.55,0.3,28881.46,2.96,0.0002,6231.89,0.02,,,124.64,"Rhizosolenia,Hemiaulus",455.76,0.010,,,,4.56,29010.66,28.94,34.99,6.135,33.000,,0.33,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-04-12,-15.00,175.00,150,9881.61,0.3,2964.48,777.53,0.0002,64339.73,0.02,,,1286.95,"Rhizosolenia,Hemiaulus",42.07,0.010,,,,0.42,4251.86,29.39,34.23,0.012,114.000,,0.06,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-04-13,-16.75,171.75,150,29624.83,0.3,8887.45,2623.70,0.0002,12018.53,0.02,,,240.90,"Rhizosolenia,Hemiaulus",126.60,0.010,,,,1.27,9129.61,28.80,34.80,21.681,61.000,,0.20,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-06-22,18.39,-67.89,200,650.50,0.3,195.15,100.00,0.0002,0.40,0.02,,,0.03,"Hemiaulus, Rhizosolenia",51.71,0.010,,,,0.52,195.70,28.76,36.42,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-06-23,16.39,-65.13,150,58831.17,0.3,17649.35,6532500.00,0.0002,6.24,0.02,,,1306.62,"Hemiaulus, Rhizosolenia",155.35,0.010,,,,1.55,18957.53,28.17,36.00,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-06-27,12.26,-56.15,200,5186.91,0.3,1556.07,109656.25,0.0002,34.45,0.02,,,22.62,"Hemiaulus, Rhizosolenia",21.48,0.010,,,,0.21,1578.91,28.44,31.77,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-06-28,11.99,-54.45,200,22406.49,0.3,6721.95,100.00,0.0002,1.77,0.02,,,0.06,"Hemiaulus, Rhizosolenia",145.96,0.010,,,,1.46,6723.46,28.13,30.06,,0.000,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-06-29,11.62,-51.50,200,13786.81,0.3,4136.04,962.50,0.0002,0.13,0.02,,,0.20,"Hemiaulus, Rhizosolenia",104.34,0.010,,,,1.04,4137.28,27.94,33.80,0.000,0.000,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-06-30,11.71,-49.49,200,22529.66,0.3,6758.90,863906.25,0.0002,5.11,0.02,,,172.88,"Hemiaulus, Rhizosolenia",11.71,0.010,,,,0.12,6931.90,27.43,36.07,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-01,11.79,-46.16,200,8441.49,0.3,2532.45,11445625.00,0.0002,0.31,0.02,,,2289.13,"Hemiaulus, Rhizosolenia",14.38,0.010,,,,0.14,4821.72,26.82,36.37,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-03,11.79,-43.45,200,4156.02,0.3,1246.81,34937.50,0.0002,0.52,0.02,,,7.00,"Hemiaulus, Rhizosolenia",10.70,0.010,,,,0.11,1253.91,27.38,36.14,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-04,12.43,-40.13,200,378.04,0.3,113.41,13140656.25,0.0002,0.56,0.02,,,2628.14,"Hemiaulus, Rhizosolenia",132.12,0.010,,,,1.32,2742.88,26.35,36.43,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-06,13.92,-35.28,200,342.57,0.3,102.77,22506375.00,0.0002,25.86,0.02,,,4501.79,"Hemiaulus, Rhizosolenia",0.11,0.010,,,,0.00,4604.56,26.01,36.40,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-07,14.98,-31.96,200,38.12,0.3,11.44,223166187.50,0.0002,0.14,0.02,,,44633.24,"Hemiaulus, Rhizosolenia",11.31,0.010,,,,0.11,44644.79,25.19,36.35,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-12,16.90,-25.00,200,651.75,0.3,195.52,63827431.25,0.0002,4.19,0.02,,,12765.57,"Hemiaulus, Rhizosolenia",8.01,0.010,,,,0.08,12961.17,26.93,36.16,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-13,10.00,-28.77,200,2.69,0.3,0.81,8457750.00,0.0002,0.09,0.02,,,1691.55,"Hemiaulus, Rhizosolenia",0.50,0.010,,,,0.01,1692.36,27.18,35.96,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-14,6.65,-30.85,200,9100.89,0.3,2730.27,306.25,0.0002,0.23,0.02,,,0.07,"Hemiaulus, Rhizosolenia",0.00,0.010,,,,0.00,2730.33,28.39,35.05,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-15,3.33,-32.93,200,32745.26,0.3,9823.58,0.00,0.0002,0.43,0.02,,,0.01,"Hemiaulus, Rhizosolenia",40.26,0.010,,,,0.40,9823.99,27.85,35.50,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-14,0.08,-34.99,200,6122.56,0.3,1836.77,2053968.75,0.0002,0.11,0.02,,,410.80,"Hemiaulus, Rhizosolenia",0.31,0.010,,,,0.00,2247.57,26.80,36.19,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-17,1.83,-38.50,200,38433.49,0.3,11530.05,0.00,0.0002,101.62,0.02,,,2.03,"Hemiaulus, Rhizosolenia",46.68,0.010,,,,0.47,11532.55,28.12,35.59,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-19,3.67,-41.96,200,11165.60,0.3,3349.68,156.25,0.0002,0.56,0.02,,,0.04,"Hemiaulus, Rhizosolenia",870.25,0.010,,,,8.70,3358.43,28.25,35.28,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-20,5.60,-45.60,200,20877.89,0.3,6263.37,306.25,0.0002,5.72,0.02,,,0.18,"Hemiaulus, Rhizosolenia",226.14,0.010,,,,2.26,6265.80,28.56,32.97,,,,,,
"Turk-Kubo, K.A., University of California, Santa Cruz, katurk@gmail.com","Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-07-21,7.53,-49.26,200,28216.49,0.3,8464.95,0.00,0.0002,0.34,0.02,,,0.01,"Hemiaulus, Rhizosolenia",29.91,0.010,,,,0.30,8465.25,28.76,32.75,,,,,,
