SOURCE: Related article or authors,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2/A3/A4 nifH Gene (x106 copies m-3),Total UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),UCYN-C nifH Gene (x106 copies m-3),Richelia Associated Species,Total Richelia (het-1 +het-2) nifH Gene (x106 copies m-3),Richelia  (het-1 or RintRC02) nifH Gene (x106 copies m-3),Richelia  (het-2 or ReuHH01) nifH Gene (x106 copies m-3),Richelia  ( RrhiSC01) nifH Gene (x106 copies m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),SiO2 (µM),Chlorophyll  (mg m-3),Notes
,qPCR,9/14/2013,22.75 ,-158.00 ,100.0 ,0.628 ,BD,,BD,4.565 ,,"Rhizosolenia,Hemiaulus",0.085 ,,,0.04 ,,,,,,,,
,qPCR,9/14/2013,22.75 ,-158.00 ,125.0 ,13.736 ,BD,,BD,5.956 ,,"Rhizosolenia,Hemiaulus",0.630 ,,,BD,,,,,,,,
,qPCR,9/14/2013,22.75 ,-158.00 ,150.0 ,0.218 ,0.05 ,,0.05 ,1.171 ,,"Rhizosolenia,Hemiaulus",0.357 ,,,BD,,,,,,,,
,qPCR,9/14/2013,22.75 ,-158.00 ,175.0 ,0.048 ,BD,,BD,3.069 ,,"Rhizosolenia,Hemiaulus",0.520 ,,,BD,,,,,,,,
,qPCR,10/4/2013,22.75 ,-158.00 ,5.0 ,34.891 ,78.12 ,,78.12 ,25.780 ,,"Rhizosolenia,Hemiaulus",1.207 ,,,BD,,,,,,,,
,qPCR,10/4/2013,22.75 ,-158.00 ,25.0 ,61.742 ,105.60 ,,105.60 ,54.958 ,,"Rhizosolenia,Hemiaulus",2.220 ,,,BD,,,,,,,,
,qPCR,10/4/2013,22.75 ,-158.00 ,45.0 ,6.030 ,5.56 ,,5.56 ,4.971 ,,"Rhizosolenia,Hemiaulus",3.531 ,,,0.36 ,,,,,,,,
,qPCR,10/4/2013,22.75 ,-158.00 ,75.0 ,14.505 ,1.31 ,,1.31 ,1.225 ,,"Rhizosolenia,Hemiaulus",0.277 ,,,BD,,,,,,,,
,qPCR,10/4/2013,22.75 ,-158.00 ,100.0 ,BD,BD,,BD,0.441 ,,"Rhizosolenia,Hemiaulus",0.355 ,,,BD,,,,,,,,
,qPCR,10/4/2013,22.75 ,-158.00 ,125.0 ,2.307 ,BD,,BD,0.458 ,,"Rhizosolenia,Hemiaulus",0.272 ,,,BD,,,,,,,,
,qPCR,10/4/2013,22.75 ,-158.00 ,150.0 ,0.087 ,BD,,BD,1.333 ,,"Rhizosolenia,Hemiaulus",0.519 ,,,BD,,,,,,,,
,qPCR,10/4/2013,22.75 ,-158.00 ,175.0 ,0.093 ,BD,,BD,0.449 ,,"Rhizosolenia,Hemiaulus",0.149 ,,,BD,,,,,,,,
,qPCR,10/30/2013,22.75 ,-158.00 ,5.0 ,16.425 ,44.73 ,,44.73 ,42.086 ,,"Rhizosolenia,Hemiaulus",3.123 ,,,0.66 ,,,,,,,,
,qPCR,10/30/2013,22.75 ,-158.00 ,25.0 ,31.186 ,73.59 ,,73.59 ,106.107 ,,"Rhizosolenia,Hemiaulus",2.827 ,,,0.40 ,,,,,,,,
,qPCR,10/30/2013,22.75 ,-158.00 ,45.0 ,54.971 ,55.66 ,,55.66 ,53.168 ,,"Rhizosolenia,Hemiaulus",6.920 ,,,0.94 ,,,,,,,,
,qPCR,10/30/2013,22.75 ,-158.00 ,75.0 ,1.873 ,34.09 ,,34.09 ,16.870 ,,"Rhizosolenia,Hemiaulus",2.495 ,,,0.17 ,,,,,,,,
,qPCR,10/30/2013,22.75 ,-158.00 ,100.0 ,3.503 ,0.25 ,,0.25 ,1.123 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,10/30/2013,22.75 ,-158.00 ,125.0 ,3.541 ,BD,,BD,1.915 ,,"Rhizosolenia,Hemiaulus",0.307 ,,,BD,,,,,,,,
,qPCR,10/30/2013,22.75 ,-158.00 ,150.0 ,BD,0.13 ,,0.13 ,1.351 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,10/30/2013,22.75 ,-158.00 ,175.0 ,0.280 ,BD,,BD,1.949 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,11/29/2013,22.75 ,-158.00 ,5.0 ,87.731 ,107.58 ,,107.58 ,118.349 ,,"Rhizosolenia,Hemiaulus",13.793 ,,,0.94 ,,,,,,,,
,qPCR,11/29/2013,22.75 ,-158.00 ,25.0 ,33.789 ,83.42 ,,83.42 ,117.405 ,,"Rhizosolenia,Hemiaulus",4.632 ,,,0.37 ,,,,,,,,
,qPCR,11/29/2013,22.75 ,-158.00 ,45.0 ,35.060 ,104.51 ,,104.51 ,213.409 ,,"Rhizosolenia,Hemiaulus",3.537 ,,,0.24 ,,,,,,,,
,qPCR,11/29/2013,22.75 ,-158.00 ,75.0 ,19.670 ,109.50 ,,109.50 ,174.245 ,,"Rhizosolenia,Hemiaulus",3.425 ,,,BD,,,,,,,,
,qPCR,11/29/2013,22.75 ,-158.00 ,100.0 ,9.717 ,BD,,BD,1.178 ,,"Rhizosolenia,Hemiaulus",0.080 ,,,BD,,,,,,,,
,qPCR,11/29/2013,22.75 ,-158.00 ,125.0 ,BD,0.47 ,,0.47 ,0.767 ,,"Rhizosolenia,Hemiaulus",0.547 ,,,BD,,,,,,,,
,qPCR,11/29/2013,22.75 ,-158.00 ,150.0 ,0.066 ,BD,,BD,0.304 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,11/29/2013,22.75 ,-158.00 ,175.0 ,BD,BD,,BD,BD,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,12/23/2013,22.75 ,-158.00 ,5.0 ,11.659 ,152.81 ,,152.81 ,31.570 ,,"Rhizosolenia,Hemiaulus",1.153 ,,,BD,,,,,,,,
,qPCR,12/23/2013,22.75 ,-158.00 ,25.0 ,7.606 ,56.01 ,,56.01 ,15.410 ,,"Rhizosolenia,Hemiaulus",1.022 ,,,0.02 ,,,,,,,,
,qPCR,12/23/2013,22.75 ,-158.00 ,45.0 ,49.360 ,52.81 ,,52.81 ,14.667 ,,"Rhizosolenia,Hemiaulus",0.588 ,,,BD,,,,,,,,
,qPCR,12/23/2013,22.75 ,-158.00 ,75.0 ,104.021 ,201.02 ,,201.02 ,25.910 ,,"Rhizosolenia,Hemiaulus",3.074 ,,,BD,,,,,,,,
,qPCR,12/23/2013,22.75 ,-158.00 ,100.0 ,0.268 ,0.43 ,,0.43 ,0.573 ,,"Rhizosolenia,Hemiaulus",BD,,,0.10 ,,,,,,,,
,qPCR,12/23/2013,22.75 ,-158.00 ,125.0 ,BD,BD,,BD,0.431 ,,"Rhizosolenia,Hemiaulus",0.937 ,,,BD,,,,,,,,
,qPCR,12/23/2013,22.75 ,-158.00 ,150.0 ,BD,BD,,BD,BD,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,12/23/2013,22.75 ,-158.00 ,175.0 ,BD,0.12 ,,0.12 ,BD,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,1/18/2014,22.75 ,-158.00 ,5.0 ,0.456 ,196.53 ,,196.53 ,8.538 ,,"Rhizosolenia,Hemiaulus",2.377 ,,,BD,,,,,,,,
,qPCR,1/18/2014,22.75 ,-158.00 ,25.0 ,0.530 ,116.13 ,,116.13 ,4.748 ,,"Rhizosolenia,Hemiaulus",2.226 ,,,0.29 ,,,,,,,,
,qPCR,1/18/2014,22.75 ,-158.00 ,45.0 ,0.223 ,127.56 ,,127.56 ,5.701 ,,"Rhizosolenia,Hemiaulus",2.031 ,,,0.19 ,,,,,,,,
,qPCR,1/18/2014,22.75 ,-158.00 ,75.0 ,0.287 ,285.27 ,,285.27 ,6.756 ,,"Rhizosolenia,Hemiaulus",2.876 ,,,0.04 ,,,,,,,,
,qPCR,1/18/2014,22.75 ,-158.00 ,100.0 ,0.329 ,120.29 ,,120.29 ,5.230 ,,"Rhizosolenia,Hemiaulus",1.722 ,,,BD,,,,,,,,
,qPCR,1/18/2014,22.75 ,-158.00 ,125.0 ,BD,0.44 ,,0.44 ,1.519 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,1/18/2014,22.75 ,-158.00 ,150.0 ,BD,1.95 ,,1.95 ,2.128 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,1/18/2014,22.75 ,-158.00 ,175.0 ,BD,1.77 ,,1.77 ,1.149 ,,"Rhizosolenia,Hemiaulus",0.015 ,,,BD,,,,,,,,
,qPCR,2/17/2014,22.75 ,-158.00 ,5.0 ,16.581 ,344.40 ,,344.40 ,9.785 ,,"Rhizosolenia,Hemiaulus",1.563 ,,,BD,,,,,,,,
,qPCR,2/17/2014,22.75 ,-158.00 ,25.0 ,16.483 ,143.95 ,,143.95 ,9.285 ,,"Rhizosolenia,Hemiaulus",2.007 ,,,BD,,,,,,,,
,qPCR,2/17/2014,22.75 ,-158.00 ,45.0 ,2.380 ,286.69 ,,286.69 ,8.911 ,,"Rhizosolenia,Hemiaulus",1.279 ,,,BD,,,,,,,,
,qPCR,2/17/2014,22.75 ,-158.00 ,75.0 ,1.255 ,351.28 ,,351.28 ,4.285 ,,"Rhizosolenia,Hemiaulus",1.105 ,,,0.38 ,,,,,,,,
,qPCR,2/17/2014,22.75 ,-158.00 ,100.0 ,BD,6.93 ,,6.93 ,0.199 ,,"Rhizosolenia,Hemiaulus",0.121 ,,,BD,,,,,,,,
,qPCR,2/17/2014,22.75 ,-158.00 ,125.0 ,BD,2.23 ,,2.23 ,BD,,"Rhizosolenia,Hemiaulus",0.257 ,,,BD,,,,,,,,
,qPCR,2/17/2014,22.75 ,-158.00 ,150.0 ,BD,BD,,BD,BD,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,2/17/2014,22.75 ,-158.00 ,175.0 ,BD,BD,,BD,BD,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,3/8/2014,22.75 ,-158.00 ,5.0 ,23.752 ,271.54 ,,271.54 ,31.046 ,,"Rhizosolenia,Hemiaulus",6.586 ,,,1.88 ,,,,,,,,
,qPCR,3/8/2014,22.75 ,-158.00 ,25.0 ,13.753 ,209.14 ,,209.14 ,19.650 ,,"Rhizosolenia,Hemiaulus",1.607 ,,,0.18 ,,,,,,,,
,qPCR,3/8/2014,22.75 ,-158.00 ,45.0 ,0.819 ,125.09 ,,125.09 ,10.609 ,,"Rhizosolenia,Hemiaulus",2.651 ,,,1.18 ,,,,,,,,
,qPCR,3/8/2014,22.75 ,-158.00 ,75.0 ,BD,139.65 ,,139.65 ,8.626 ,,"Rhizosolenia,Hemiaulus",9.096 ,,,0.47 ,,,,,,,,
,qPCR,3/8/2014,22.75 ,-158.00 ,100.0 ,BD,60.80 ,,60.80 ,2.819 ,,"Rhizosolenia,Hemiaulus",0.903 ,,,0.34 ,,,,,,,,
,qPCR,3/8/2014,22.75 ,-158.00 ,125.0 ,BD,6.26 ,,6.26 ,0.138 ,,"Rhizosolenia,Hemiaulus",0.354 ,,,0.13 ,,,,,,,,
,qPCR,3/8/2014,22.75 ,-158.00 ,150.0 ,BD,0.06 ,,0.06 ,BD,,"Rhizosolenia,Hemiaulus",0.051 ,,,BD,,,,,,,,
,qPCR,3/8/2014,22.75 ,-158.00 ,175.0 ,BD,BD,,BD,BD,,"Rhizosolenia,Hemiaulus",BD,,,0.03 ,,,,,,,,
,qPCR,4/13/2014,22.75 ,-158.00 ,5.0 ,0.956 ,62.57 ,,62.57 ,6.527 ,,"Rhizosolenia,Hemiaulus",2.092 ,,,0.60 ,,,,,,,,
,qPCR,4/13/2014,22.75 ,-158.00 ,25.0 ,7.752 ,83.26 ,,83.26 ,9.012 ,,"Rhizosolenia,Hemiaulus",8.059 ,,,0.33 ,,,,,,,,
,qPCR,4/13/2014,22.75 ,-158.00 ,45.0 ,0.403 ,72.94 ,,72.94 ,2.833 ,,"Rhizosolenia,Hemiaulus",8.152 ,,,0.53 ,,,,,,,,
,qPCR,4/13/2014,22.75 ,-158.00 ,75.0 ,BD,23.84 ,,23.84 ,22.297 ,,"Rhizosolenia,Hemiaulus",0.223 ,,,0.50 ,,,,,,,,
,qPCR,4/13/2014,22.75 ,-158.00 ,100.0 ,BD,6.34 ,,6.34 ,0.328 ,,"Rhizosolenia,Hemiaulus",0.200 ,,,0.22 ,,,,,,,,
,qPCR,4/13/2014,22.75 ,-158.00 ,125.0 ,BD,1.28 ,,1.28 ,0.123 ,,"Rhizosolenia,Hemiaulus",0.231 ,,,0.14 ,,,,,,,,
,qPCR,4/13/2014,22.75 ,-158.00 ,150.0 ,BD,1.09 ,,1.09 ,0.551 ,,"Rhizosolenia,Hemiaulus",0.504 ,,,0.09 ,,,,,,,,
,qPCR,4/13/2014,22.75 ,-158.00 ,175.0 ,0.021 ,0.70 ,,0.70 ,0.137 ,,"Rhizosolenia,Hemiaulus",BD,,,0.05 ,,,,,,,,
,qPCR,6/3/2014,22.75 ,-158.00 ,5.0 ,2.271 ,55.76 ,,55.76 ,13.558 ,,"Rhizosolenia,Hemiaulus",1.330 ,,,0.12 ,,,,,,,,
,qPCR,6/3/2014,22.75 ,-158.00 ,25.0 ,1.626 ,144.43 ,,144.43 ,11.755 ,,"Rhizosolenia,Hemiaulus",2.468 ,,,0.38 ,,,,,,,,
,qPCR,6/3/2014,22.75 ,-158.00 ,45.0 ,2.590 ,236.69 ,,236.69 ,10.457 ,,"Rhizosolenia,Hemiaulus",0.347 ,,,0.45 ,,,,,,,,
,qPCR,6/3/2014,22.75 ,-158.00 ,75.0 ,BD,169.55 ,,169.55 ,6.368 ,,"Rhizosolenia,Hemiaulus",0.077 ,,,0.34 ,,,,,,,,
,qPCR,6/3/2014,22.75 ,-158.00 ,100.0 ,BD,15.54 ,,15.54 ,0.781 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,6/3/2014,22.75 ,-158.00 ,125.0 ,BD,0.08 ,,0.08 ,BD,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,6/3/2014,22.75 ,-158.00 ,150.0 ,0.062 ,0.05 ,,0.05 ,BD,,"Rhizosolenia,Hemiaulus",0.153 ,,,BD,,,,,,,,
,qPCR,6/3/2014,22.75 ,-158.00 ,175.0 ,0.032 ,0.12 ,,0.12 ,0.324 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,7/3/2014,22.75 ,-158.00 ,5.0 ,13.956 ,38.08 ,,38.08 ,95.102 ,,"Rhizosolenia,Hemiaulus",25.747 ,,,0.70 ,,,,,,,,
,qPCR,7/3/2014,22.75 ,-158.00 ,25.0 ,18.644 ,61.10 ,,61.10 ,108.968 ,,"Rhizosolenia,Hemiaulus",14.825 ,,,1.91 ,,,,,,,,
,qPCR,7/3/2014,22.75 ,-158.00 ,45.0 ,0.067 ,164.22 ,,164.22 ,14.049 ,,"Rhizosolenia,Hemiaulus",1.062 ,,,0.18 ,,,,,,,,
,qPCR,7/3/2014,22.75 ,-158.00 ,75.0 ,0.042 ,82.53 ,,82.53 ,4.541 ,,"Rhizosolenia,Hemiaulus",0.312 ,,,0.16 ,,,,,,,,
,qPCR,7/3/2014,22.75 ,-158.00 ,100.0 ,0.091 ,0.07 ,,0.07 ,0.919 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,7/3/2014,22.75 ,-158.00 ,125.0 ,BD,0.03 ,,0.03 ,0.610 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,7/3/2014,22.75 ,-158.00 ,150.0 ,BD,0.03 ,,0.03 ,0.398 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,7/3/2014,22.75 ,-158.00 ,175.0 ,BD,0.08 ,,0.08 ,1.029 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,9/17/2014,22.75 ,-158.00 ,5.0 ,409.331 ,358.30 ,,358.30 ,378.257 ,,"Rhizosolenia,Hemiaulus",4.906 ,,,1.51 ,,,,,,,,
,qPCR,9/17/2014,22.75 ,-158.00 ,25.0 ,1684.145 ,65.98 ,,65.98 ,1322.474 ,,"Rhizosolenia,Hemiaulus",9.578 ,,,0.52 ,,,,,,,,
,qPCR,9/17/2014,22.75 ,-158.00 ,45.0 ,637.533 ,165.00 ,,165.00 ,4014.251 ,,"Rhizosolenia,Hemiaulus",8.794 ,,,0.89 ,,,,,,,,
,qPCR,9/17/2014,22.75 ,-158.00 ,75.0 ,13.633 ,23.29 ,,23.29 ,696.565 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,9/17/2014,22.75 ,-158.00 ,100.0 ,7.592 ,2.32 ,,2.32 ,25.368 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,9/17/2014,22.75 ,-158.00 ,125.0 ,10.271 ,0.12 ,,0.12 ,29.176 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,9/17/2014,22.75 ,-158.00 ,150.0 ,2.787 ,0.39 ,,0.39 ,8.454 ,,"Rhizosolenia,Hemiaulus",0.863 ,,,BD,,,,,,,,
,qPCR,9/17/2014,22.75 ,-158.00 ,175.0 ,1.726 ,0.43 ,,0.43 ,9.077 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,10/16/2014,22.75 ,-158.00 ,5.0 ,1861.368 ,66.05 ,,66.05 ,5771.949 ,,"Rhizosolenia,Hemiaulus",143.094 ,,,0.77 ,,,,,,,,
,qPCR,10/16/2014,22.75 ,-158.00 ,25.0 ,1863.398 ,72.84 ,,72.84 ,6205.470 ,,"Rhizosolenia,Hemiaulus",131.910 ,,,1.28 ,,,,,,,,
,qPCR,10/16/2014,22.75 ,-158.00 ,45.0 ,1539.353 ,80.44 ,,80.44 ,15183.037 ,,"Rhizosolenia,Hemiaulus",26.877 ,,,2.28 ,,,,,,,,
,qPCR,10/16/2014,22.75 ,-158.00 ,75.0 ,5.698 ,10.58 ,,10.58 ,78.251 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,10/16/2014,22.75 ,-158.00 ,100.0 ,3.591 ,177.06 ,,177.06 ,933.225 ,,"Rhizosolenia,Hemiaulus",16.852 ,,,2.98 ,,,,,,,,
,qPCR,10/16/2014,22.75 ,-158.00 ,125.0 ,7.810 ,0.73 ,,0.73 ,206.561 ,,"Rhizosolenia,Hemiaulus",3.897 ,,,BD,,,,,,,,
,qPCR,10/16/2014,22.75 ,-158.00 ,150.0 ,1.181 ,0.27 ,,0.27 ,29.941 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,10/16/2014,22.75 ,-158.00 ,175.0 ,BD,0.14 ,,0.14 ,2.286 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,11/24/2014,22.75 ,-158.00 ,5.0 ,562.494 ,2.17 ,,2.17 ,2807.637 ,,"Rhizosolenia,Hemiaulus",6.053 ,,,0.75 ,,,,,,,,
,qPCR,11/24/2014,22.75 ,-158.00 ,25.0 ,813.827 ,2.93 ,,2.93 ,2449.496 ,,"Rhizosolenia,Hemiaulus",31.187 ,,,0.44 ,,,,,,,,
,qPCR,11/24/2014,22.75 ,-158.00 ,45.0 ,574.592 ,3.47 ,,3.47 ,3065.857 ,,"Rhizosolenia,Hemiaulus",26.669 ,,,1.55 ,,,,,,,,
,qPCR,11/24/2014,22.75 ,-158.00 ,75.0 ,500.184 ,2.88 ,,2.88 ,2260.450 ,,"Rhizosolenia,Hemiaulus",14.802 ,,,0.57 ,,,,,,,,
,qPCR,11/24/2014,22.75 ,-158.00 ,100.0 ,5.942 ,BD,,BD,43.734 ,,"Rhizosolenia,Hemiaulus",1.791 ,,,0.17 ,,,,,,,,
,qPCR,11/24/2014,22.75 ,-158.00 ,125.0 ,2.464 ,BD,,BD,3.905 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,11/24/2014,22.75 ,-158.00 ,150.0 ,2.210 ,BD,,BD,28.226 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,11/24/2014,22.75 ,-158.00 ,175.0 ,1.044 ,BD,,BD,11.224 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,12/20/2014,22.75 ,-158.00 ,5.0 ,13.261 ,22.68 ,,22.68 ,166.105 ,,"Rhizosolenia,Hemiaulus",12.232 ,,,0.75 ,,,,,,,,
,qPCR,12/20/2014,22.75 ,-158.00 ,25.0 ,72.534 ,21.67 ,,21.67 ,91.247 ,,"Rhizosolenia,Hemiaulus",8.559 ,,,BD,,,,,,,,
,qPCR,12/20/2014,22.75 ,-158.00 ,45.0 ,63.480 ,14.44 ,,14.44 ,51.902 ,,"Rhizosolenia,Hemiaulus",4.388 ,,,0.38 ,,,,,,,,
,qPCR,12/20/2014,22.75 ,-158.00 ,75.0 ,31.525 ,17.00 ,,17.00 ,91.478 ,,"Rhizosolenia,Hemiaulus",17.106 ,,,1.05 ,,,,,,,,
,qPCR,12/20/2014,22.75 ,-158.00 ,100.0 ,84.840 ,17.75 ,,17.75 ,54.352 ,,"Rhizosolenia,Hemiaulus",19.235 ,,,0.74 ,,,,,,,,
,qPCR,12/20/2014,22.75 ,-158.00 ,125.0 ,0.348 ,BD,,BD,6.509 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,12/20/2014,22.75 ,-158.00 ,150.0 ,BD,BD,,BD,9.517 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,12/20/2014,22.75 ,-158.00 ,175.0 ,BD,BD,,BD,14.215 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,2/28/2015,22.75 ,-158.00 ,5.0 ,2.695 ,2629.92 ,,2629.92 ,1.683 ,,"Rhizosolenia,Hemiaulus",0.988 ,,,3.47 ,,,,,,,,
,qPCR,2/28/2015,22.75 ,-158.00 ,25.0 ,0.889 ,2178.24 ,,2178.24 ,0.751 ,,"Rhizosolenia,Hemiaulus",4.094 ,,,0.75 ,,,,,,,,
,qPCR,2/28/2015,22.75 ,-158.00 ,45.0 ,0.615 ,1706.07 ,,1706.07 ,1.127 ,,"Rhizosolenia,Hemiaulus",2.953 ,,,4.17 ,,,,,,,,
,qPCR,2/28/2015,22.75 ,-158.00 ,75.0 ,BD,1013.16 ,,1013.16 ,0.400 ,,"Rhizosolenia,Hemiaulus",4.364 ,,,2.13 ,,,,,,,,
,qPCR,2/28/2015,22.75 ,-158.00 ,100.0 ,BD,165.88 ,,165.88 ,0.249 ,,"Rhizosolenia,Hemiaulus",3.353 ,,,1.76 ,,,,,,,,
,qPCR,2/28/2015,22.75 ,-158.00 ,125.0 ,BD,6.87 ,,6.87 ,0.210 ,,"Rhizosolenia,Hemiaulus",1.630 ,,,BD,,,,,,,,
,qPCR,2/28/2015,22.75 ,-158.00 ,150.0 ,BD,0.51 ,,0.51 ,BD,,"Rhizosolenia,Hemiaulus",0.565 ,,,0.28 ,,,,,,,,
,qPCR,2/28/2015,22.75 ,-158.00 ,175.0 ,BD,0.51 ,,0.51 ,0.102 ,,"Rhizosolenia,Hemiaulus",0.109 ,,,0.33 ,,,,,,,,
,qPCR,4/1/2015,22.75 ,-158.00 ,5.0 ,0.675 ,694.63 ,,694.63 ,7.406 ,,"Rhizosolenia,Hemiaulus",1.329 ,,,2.79 ,,,,,,,,
,qPCR,4/1/2015,22.75 ,-158.00 ,25.0 ,8.954 ,538.42 ,,538.42 ,4.367 ,,"Rhizosolenia,Hemiaulus",2.673 ,,,0.53 ,,,,,,,,
,qPCR,4/1/2015,22.75 ,-158.00 ,45.0 ,BD,935.58 ,,935.58 ,9.590 ,,"Rhizosolenia,Hemiaulus",2.427 ,,,3.03 ,,,,,,,,
,qPCR,4/1/2015,22.75 ,-158.00 ,75.0 ,BD,436.10 ,,436.10 ,8.971 ,,"Rhizosolenia,Hemiaulus",9.801 ,,,0.65 ,,,,,,,,
,qPCR,4/1/2015,22.75 ,-158.00 ,100.0 ,BD,209.39 ,,209.39 ,2.122 ,,"Rhizosolenia,Hemiaulus",1.733 ,,,4.41 ,,,,,,,,
,qPCR,4/1/2015,22.75 ,-158.00 ,125.0 ,BD,41.70 ,,41.70 ,0.446 ,,"Rhizosolenia,Hemiaulus",3.547 ,,,BD,,,,,,,,
,qPCR,4/1/2015,22.75 ,-158.00 ,150.0 ,BD,2.73 ,,2.73 ,0.584 ,,"Rhizosolenia,Hemiaulus",0.507 ,,,0.47 ,,,,,,,,
,qPCR,4/1/2015,22.75 ,-158.00 ,175.0 ,BD,0.16 ,,0.16 ,0.053 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,4/25/2015,22.75 ,-158.00 ,5.0 ,BD,1453.53 ,,1453.53 ,12.475 ,,"Rhizosolenia,Hemiaulus",6.941 ,,,BD,,,,,,,,
,qPCR,4/25/2015,22.75 ,-158.00 ,25.0 ,0.445 ,1324.43 ,,1324.43 ,12.109 ,,"Rhizosolenia,Hemiaulus",5.876 ,,,BD,,,,,,,,
,qPCR,4/25/2015,22.75 ,-158.00 ,45.0 ,1.987 ,2198.33 ,,2198.33 ,16.910 ,,"Rhizosolenia,Hemiaulus",1.291 ,,,BD,,,,,,,,
,qPCR,4/25/2015,22.75 ,-158.00 ,75.0 ,BD,940.30 ,,940.30 ,9.554 ,,"Rhizosolenia,Hemiaulus",0.778 ,,,1.47 ,,,,,,,,
,qPCR,4/25/2015,22.75 ,-158.00 ,100.0 ,BD,512.08 ,,512.08 ,0.701 ,,"Rhizosolenia,Hemiaulus",0.472 ,,,BD,,,,,,,,
,qPCR,4/25/2015,22.75 ,-158.00 ,125.0 ,BD,28.20 ,,28.20 ,0.118 ,,"Rhizosolenia,Hemiaulus",0.043 ,,,BD,,,,,,,,
,qPCR,4/25/2015,22.75 ,-158.00 ,150.0 ,BD,3.75 ,,3.75 ,0.271 ,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,4/25/2015,22.75 ,-158.00 ,175.0 ,BD,0.33 ,,0.33 ,BD,,"Rhizosolenia,Hemiaulus",BD,,,BD,,,,,,,,
,qPCR,5/27/2015,22.75 ,-158.00 ,5.0 ,0.992 ,2416.44 ,,2416.44 ,17.435 ,,"Rhizosolenia,Hemiaulus",1.917 ,,,BD,,,,,,,,
,qPCR,5/27/2015,22.75 ,-158.00 ,25.0 ,1.461 ,4283.96 ,,4283.96 ,28.759 ,,"Rhizosolenia,Hemiaulus",2.152 ,,,BD,,,,,,,,
,qPCR,5/27/2015,22.75 ,-158.00 ,45.0 ,BD,2708.57 ,,2708.57 ,26.095 ,,"Rhizosolenia,Hemiaulus",2.388 ,,,BD,,,,,,,,
,qPCR,5/27/2015,22.75 ,-158.00 ,75.0 ,BD,1217.56 ,,1217.56 ,15.936 ,,"Rhizosolenia,Hemiaulus",0.480 ,,,0.69 ,,,,,,,,
,qPCR,5/27/2015,22.75 ,-158.00 ,100.0 ,BD,29.39 ,,29.39 ,2.026 ,,"Rhizosolenia,Hemiaulus",0.403 ,,,1.09 ,,,,,,,,
