SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),Trichodesmium Biomass Conversion factor (mg C/106 trichomes),Trichodesmium Biomass (mg C m-2),UCYN Cells (x106 m-2),UCYN Biomass Conversion factor (mg C/106 cells),UCYN Biomass (mg C m-2),Richelia Associated Species,Richelia Cells (x106 m-2),Richelia Biomass Conversion factor (mg C/106 cells),Calothrix Associated Species,Calothrix Cells  (x106 m-2),Calothrix Biomass Conversion factor (mg C/106 cells),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-2),Total Diazotrophic Biomass (mg C m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-11,9.72,-27.99,100,,,4.7710,30,143.129,,,,,,,,,,,143.129,25.88,35.92,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-12,11.88,-26.50,100,,,4.0164,elemental analyzer,5.000,,,,,,,,,,,5.000,25.80,35.98,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-17,16.26,-29.81,100,,,2.3703,30,71.109,,,,,,,,,,,71.109,23.53,36.38,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-18,16.09,-33.19,100,,,1.1343,30,34.030,,,,,,,,,,,34.030,24.21,36.30,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-19,15.76,-37.97,100,,,7.0666,elemental analyzer,5.900,,,,,,,,,,,5.900,24.60,36.34,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-20,15.55,-40.61,100,,,15.0984,elemental analyzer,74.000,,,,,,,,,,,74.000,25.30,36.16,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-20,15.44,-41.72,100,,,10.9178,30,327.535,,,,,,,,,,,327.535,25.40,36.45,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-21,15.25,-43.49,100,,,25.6348,elemental analyzer,103.000,,,,,,,,,,,103.000,25.40,36.17,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-21,15.18,-44.19,100,,,14.7089,30,441.266,,,,,,,,,,,441.266,25.76,36.22,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-22,15.09,-45.09,100,,,12.0366,30,361.097,,,,,,,,,,,361.097,25.50,36.17,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-22,14.97,-46.00,100,,,13.5607,30,406.820,,,,,,,,,,,406.820,25.63,36.37,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-23,14.73,-48.10,100,,,19.8972,elemental analyzer,44.000,,,,,,,,,,,44.000,26.20,36.17,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-23,14.55,-48.47,100,,,8.9869,30,269.606,,,,,,,,,,,269.606,26.30,36.32,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-24,14.26,-51.88,100,,,15.5300,elemental analyzer,116.000,,,,,,,,,,,116.000,26.28,36.20,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-25,13.62,-55.69,100,,,89.8655,30,2695.965,,,,,,,,,,,2695.965,26.90,35.57,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-13,25.19,-69.53,100,,,0.9962,elemental analyzer,19.000,,,,Hemiaulus,5.4925,0.0100,,,,0.055 ,19.055,27.56,35.22,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-14,23.13,-66.25,100,,,0.3350,elemental analyzer,13.000,,,,Hemiaulus,9.2890,0.0100,,,,0.09 ,13.093,27.92,36.29,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-15,22.01,-63.31,100,,,1.3594,elemental analyzer,96.000,,,,Hemiaulus,6.4720,0.0100,,,,0.06 ,96.065,28.10,34.00,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-16,20.73,-60.41,100,,,4.6828,elemental analyzer,31.000,,,,Hemiaulus,5.1518,0.0100,,,,0.05 ,31.052,28.25,34.00,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-17,18.90,-57.64,100,,,5.4679,elemental analyzer,55.000,,,,Hemiaulus,3.8460,0.0100,,,,0.04 ,55.038,28.06,34.21,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-18,16.85,-54.87,100,,,4.8688,elemental analyzer,18.000,,,,Hemiaulus,2.9335,0.0100,,,,0.03 ,18.029,28.23,34.40,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-19,14.82,-52.19,100,,,11.5125,elemental analyzer,127.000,,,,Hemiaulus,9.1800,0.0100,,,,0.09 ,127.092,28.21,35.77,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-20,13.05,-49.85,100,,,9.6733,elemental analyzer,55.000,,,,Hemiaulus,101.6570,0.0100,,,,1.02 ,56.017,28.03,33.80,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-21,10.99,-47.16,100,,,24.0064,30,720.191,,,,Hemiaulus,55449.9175,0.0100,,,,554.50 ,1274.690,28.64,35.85,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-21,10.49,-46.51,100,,,22.2197,30,666.590,,,,Hemiaulus,16096.0050,0.0100,,,,160.96 ,827.550,29.40,34.30,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-22,9.02,-44.60,100,,,4.2414,elemental analyzer,7.200,,,,Hemiaulus,14416.4100,0.0100,,,,144.16 ,151.364,29.04,33.64,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-23,7.18,-42.22,100,,,6.1866,30,185.598,,,,Hemiaulus,45.2325,0.0100,,,,0.45 ,186.050,28.80,34.50,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-23,7.34,-42.84,100,,,10.1906,30,305.718,,,,Hemiaulus,78880.2775,0.0100,,,,788.80 ,1094.521,28.70,33.26,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-24,7.85,-45.17,100,,,4.3107,30,129.321,,,,Hemiaulus,63352.8650,0.0100,,,,633.53 ,762.850,29.17,33.77,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-24,8.00,-45.88,100,,,4.8587,30,145.761,,,,Hemiaulus,43567.7300,0.0100,,,,435.68 ,581.438,29.00,33.06,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-25,8.53,-48.26,100,,,6.1729,30,185.186,,,,Hemiaulus,102488.1863,0.0100,,,,1024.88 ,1210.067,29.10,32.85,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-25,8.69,-48.98,100,,,0.0915,30,2.745,,,,Hemiaulus,67474.3063,0.0100,,,,674.74 ,677.488,29.30,30.60,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-26,9.17,-51.17,100,,,0.0110,30,0.330,,,,Hemiaulus,17.4245,0.0100,,,,0.17 ,0.504,28.32,35.05,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-26,9.82,-51.61,100,,,0.2174,30,6.521,,,,Hemiaulus,93817.9488,0.0100,,,,938.18 ,944.700,29.27,32.97,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-27,11.66,-53.31,100,,,17.1580,elemental analyzer,79.000,,,,Hemiaulus,31313.7950,0.0100,,,,313.14 ,392.138,28.70,33.16,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-27,12.09,-53.67,100,,,12.6980,30,380.940,,,,Hemiaulus,102.4678,0.0100,,,,1.02 ,381.965,28.71,35.49,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-28,14.14,-55.64,100,,,19.8532,elemental analyzer,401.000,,,,Hemiaulus,483.0565,0.0100,,,,4.83 ,405.831,28.21,35.85,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-28,14.63,-56.12,100,,,2.8946,30,86.837,,,,Hemiaulus,130199.9600,0.0100,,,,1302.00 ,1388.836,28.38,34.02,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-10-29,16.10,-57.47,100,,,3.5719,elemental analyzer,54.000,,,,Hemiaulus,42299.3325,0.0100,,,,422.99 ,476.993,28.11,32.92,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-11-01,16.71,-62.54,100,,,18.8645,elemental analyzer,103.000,,,,Hemiaulus,71138.1400,0.0100,,,,711.38 ,814.381,28.80,33.26,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-11-02,17.95,-63.33,100,,,30.2445,elemental analyzer,235.000,,,,Hemiaulus,52199.1438,0.0100,,,,521.99 ,756.991,28.36,33.95,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-11-04,21.94,-70.53,100,,,5.1200,elemental analyzer,80.000,,,,Hemiaulus,2530.3688,0.0100,,,,25.30 ,105.304,28.16,35.35,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-01-14,30.00,-45.00,104,,,0.1900,30,5.700,,,,,,,,,,,5.700,22.65,36.86,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-01-17,23.97,-45.00,100,15.204,,0.3571,30,10.713,,,,,,,,,,,10.713,24.31,37.11,,,,,
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-01-19,15.66,-44.98,100,95.647,,13.1037,30,393.110,,,,Hemiaulus,1.3460,0.0100,,,,0.01 ,393.123,24.95,37.11,,,,12.73,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-01-21,9.89,-45.40,80,41.222,,5.6474,30,169.421,,,,Hemiaulus,2.2910,0.0100,,,,0.02 ,169.444,25.92,36.25,,,,17.23,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-01-30,10.79,-55.35,90,336.561,,27.7079,30,831.236,,,,Hemiaulus,20.6414,0.0100,,,,0.21 ,831.442,26.10,35.52,,,0.52,19.97,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-01-31,10.18,-53.93,100,0.020,,0.0027,30,0.081,,,,Hemiaulus,0.0000,0.0100,,,,0.00 ,0.081,26.39,36.25,,0.054,0.53,,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
