SOURCE: Related article,SOURCE: Related article,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),UCYN Cells (x106 m-2),Richelia Associated Species,Richelia intracellularis (x106 m-2),Calothrix Associated Species,Calothrix intracellularis  (x106 m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
,Fluid Imaging Technologies ,2011-02-28,24.58,-65.51,200,,,0.580 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2011-03-01,24.58,-67.37,200,,,0.471 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2011-03-02,24.58,-69.13,200,,,0.204 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2011-03-03,26.26,-70.27,200,,,0.204 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2011-03-04,26.26,-72.34,200,,,0.165 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2011-03-05,26.26,-73.58,200,,,0.306 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2011-03-06,26.26,-75.45,200,,,0.157 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2011-03-07,26.26,-76.07,200,,,0.086 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2011-03-08,26.26,-76.90,200,,,0.157 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2011-03-09,27.04,-79.38,200,,,0.165 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2011-03-10,27.26,-79.79,200,,,0.424 ,,,,,,,,,,,,
"Subramaniam et al.2008,  doi: 10.1073 pnas.0710279105",Standard Light Microscopy,2001-07-28,9.30,-52.82,24,,2.8500 ,2.8500 ,,Hemiaulus,0.100 ,,,29.16 ,28.18 ,0.05 ,0.92 ,0.92 ,,
,Standard Light Microscopy,2001-08-05,7.09,-49.13,25,,3.4200 ,3.4200 ,,Hemiaulus,2.100 ,,,29.04 ,29.49 ,0.05 ,0.89 ,0.89 ,,
,Standard Light Microscopy,2001-08-06,5.42,-51.41,20,,2.8000 ,2.8000 ,,Hemiaulus,0.700 ,,,28.00 ,28.68 ,0.05 ,,,,
,Standard Light Microscopy,2001-08-09,11.64,-54.57,50,,12.4000 ,12.4000 ,,Hemiaulus,1.000 ,,,29.14 ,29.53 ,0.05 ,0.54 ,0.54 ,,
,Standard Light Microscopy,2001-08-11,11.83,-56.06,28,,74.0000 ,74.0000 ,,Hemiaulus,0.900 ,,,29.32 ,29.08 ,0.05 ,1.76 ,1.76 ,,
,Standard Light Microscopy,2003-04-23,7.04,-52.06,33,,0.7378 ,0.7378 ,,Hemiaulus,2.200 ,,,28.05 ,26.50 ,0.05 ,2.95 ,2.95 ,,
,Standard Light Microscopy,2003-05-04,7.51,-54.20,22,,0.5442 ,0.5442 ,,Hemiaulus,47.000 ,,,27.61 ,27.53 ,0.05 ,2.17 ,2.17 ,,
,Standard Light Microscopy,2003-05-17,6.68,-52.73,20,,0.6338 ,0.6338 ,,Hemiaulus,0.000 ,,,27.95 ,24.32 ,0.50 ,3.38 ,3.38 ,,
,Standard Light Microscopy,2001-07-09,11.71,-53.83,103,,44.0000 ,44.0000 ,,Hemiaulus,7.500 ,,,27.57 ,34.88 ,0.05 ,,,,
,Standard Light Microscopy,2001-07-20,10.50,-56.62,18,,0.9100 ,0.9100 ,,Hemiaulus,2285.000 ,,,28.27 ,32.34 ,0.05 ,,,,
,Standard Light Microscopy,2001-07-21,10.41,-56.53,17,,1.1000 ,1.1000 ,,Hemiaulus,2368.900 ,,,28.48 ,32.30 ,0.05 ,,,,
,Standard Light Microscopy,2001-07-23,10.53,-56.82,32,,23.8000 ,23.8000 ,,Hemiaulus,1.932 ,,,28.45 ,32.11 ,,,,,
,Standard Light Microscopy,2001-07-27,11.81,-53.65,22,,1.2400 ,1.2400 ,,Hemiaulus,365.285 ,,,28.64 ,31.08 ,0.11 ,,,,
,Standard Light Microscopy,2001-07-29,8.48,-49.91,25,,0.9100 ,0.9100 ,,Hemiaulus,1.239 ,,,28.89 ,31.50 ,0.05 ,0.92 ,0.92 ,,
,Standard Light Microscopy,2001-07-30,6.38,-47.86,30,,37.6000 ,37.6000 ,,Hemiaulus,92.721 ,,,29.26 ,32.99 ,0.05 ,1.58 ,1.58 ,,
,Standard Light Microscopy,2001-07-31,5.18,-45.42,40,,10.4000 ,10.4000 ,,Hemiaulus,29.758 ,,,28.92 ,33.07 ,0.05 ,1.21 ,1.21 ,,
,Standard Light Microscopy,2001-08-04,4.94,-49.15,34,,0.3500 ,0.3500 ,,Hemiaulus,200.545 ,,,28.71 ,32.04 ,0.05 ,1.03 ,1.03 ,,
,Standard Light Microscopy,2001-08-07,7.03,-52.37,30,,0.4100 ,0.4100 ,,Hemiaulus,0.565 ,,,28.36 ,31.45 ,0.05 ,2.08 ,2.08 ,,
,Standard Light Microscopy,2001-08-08,9.55,-53.67,31,,5.4000 ,5.4000 ,,Hemiaulus,0.606 ,,,29.50 ,32.39 ,0.05 ,,,,
,Standard Light Microscopy,2001-08-10,10.02,-55.97,35,,9.6000 ,9.6000 ,,Hemiaulus,429.405 ,,,29.44 ,33.76 ,0.05 ,,,,
,Standard Light Microscopy,2001-08-12,13.91,-54.08,45,,1.4000 ,1.4000 ,,Hemiaulus,0.328 ,,,28.76 ,31.91 ,,1.35 ,1.35 ,,
,Standard Light Microscopy,2001-08-13,11.64,-54.00,40,,37.0000 ,37.0000 ,,Hemiaulus,1.625 ,,,29.05 ,32.76 ,0.05 ,0.77 ,0.77 ,,
,Standard Light Microscopy,2001-08-14,11.50,-54.00,34,,0.9700 ,0.9700 ,,Hemiaulus,0.000 ,,,28.70 ,31.61 ,0.05 ,,,,
,Standard Light Microscopy,2001-08-15,12.51,-56.02,75,,3.8400 ,3.8400 ,,Hemiaulus,0.309 ,,,28.78 ,32.56 ,0.05 ,4.24 ,4.24 ,,
,Standard Light Microscopy,2003-04-19,11.50,-56.50,30,,8.3627 ,8.3627 ,,Hemiaulus,9.654 ,,,27.34 ,33.70 ,,0.59 ,0.59 ,,
,Standard Light Microscopy,2003-04-20,11.24,-54.59,30,,4.6368 ,4.6368 ,,Hemiaulus,1155.505 ,,,27.27 ,32.44 ,,0.64 ,0.64 ,,
,Standard Light Microscopy,2003-04-25,8.31,-51.68,57,,30.8804 ,30.8804 ,,Hemiaulus,49.727 ,,,28.05 ,34.10 ,0.05 ,1.39 ,1.39 ,,
,Standard Light Microscopy,2003-04-26,9.81,-54.08,18,,3.9615 ,3.9615 ,,Hemiaulus,1046.151 ,,,27.62 ,34.20 ,0.05 ,0.41 ,0.41 ,,
,Standard Light Microscopy,2003-04-27,11.08,-56.25,15,,8.0270 ,8.0270 ,,Hemiaulus,808.288 ,,,27.67 ,33.94 ,0.05 ,0.67 ,0.67 ,,
,Standard Light Microscopy,2003-04-30,12.99,-55.06,30,,2.1540 ,2.1540 ,,Hemiaulus,1088.650 ,,,27.43 ,34.68 ,0.05 ,2.43 ,2.43 ,,
,Standard Light Microscopy,2003-05-01,11.59,-55.68,30,,0.4611 ,0.4611 ,,Hemiaulus,1303.720 ,,,27.57 ,34.55 ,,0.89 ,0.89 ,,
,Standard Light Microscopy,2003-05-02,10.35,-55.10,42,,12.7430 ,12.7430 ,,Hemiaulus,678.876 ,,,27.49 ,33.18 ,0.05 ,4.20 ,4.20 ,,
,Standard Light Microscopy,2003-05-03,8.35,-55.64,25,,11.9350 ,11.9350 ,,Hemiaulus,847.797 ,,,27.74 ,31.91 ,0.12 ,1.05 ,1.05 ,,
,Standard Light Microscopy,2003-05-05,9.49,-55.68,28,,34.3497 ,34.3497 ,,Hemiaulus,459.738 ,,,27.52 ,32.77 ,,2.41 ,2.41 ,,
,Standard Light Microscopy,2003-05-06,12.11,-56.06,30,,0.7449 ,0.7449 ,,Hemiaulus,1650.667 ,,,27.42 ,34.62 ,,2.50 ,2.50 ,,
,Standard Light Microscopy,2003-05-07,12.19,-56.02,27,,0.4180 ,0.4180 ,,Hemiaulus,1330.938 ,,,27.39 ,34.65 ,,,,,
,Standard Light Microscopy,2003-05-10,11.34,-56.51,27,,1.3939 ,1.3939 ,,Hemiaulus,1128.726 ,,,27.39 ,32.79 ,,2.43 ,2.43 ,,
,Standard Light Microscopy,2003-05-11,10.65,-54.28,80,,37.0845 ,37.0845 ,,Hemiaulus,185.320 ,,,27.37 ,34.67 ,0.13 ,3.34 ,3.34 ,,
,Standard Light Microscopy,2003-05-12,10.70,-52.53,80,,110.8618 ,110.8618 ,,Hemiaulus,237.499 ,,,26.93 ,34.82 ,,0.00 ,0.73 ,,
,Standard Light Microscopy,2003-05-18,8.32,-55.63,30,,0.0785 ,0.0785 ,,Hemiaulus,0.265 ,,,27.47 ,30.97 ,0.11 ,2.33 ,1.24 ,,
,Standard Light Microscopy,2003-05-19,9.93,-57.90,40,,0.5516 ,0.5516 ,,Hemiaulus,9.317 ,,,27.56 ,32.85 ,0.05 ,3.50 ,2.00 ,,
,Standard Light Microscopy,2003-05-21,10.90,-54.96,43,,1.1370 ,1.1370 ,,Hemiaulus,4.086 ,,,27.68 ,32.01 ,0.05 ,3.50 ,1.38 ,,
,Standard Light Microscopy,2001-01-19,15.66,-45.00,100,,9.2600 ,9.2600 ,,Hemiaulus,0.269 ,,,24.97 ,36.65 ,0.05 ,,,,
,Standard Light Microscopy,2001-01-21,9.89,-45.40,80,,4.3700 ,4.3700 ,,Hemiaulus,0.458 ,,,25.92 ,36.19 ,0.05 ,,,,
,Standard Light Microscopy,2001-01-30,10.79,-55.35,90,,26.8000 ,26.8000 ,,Hemiaulus,4.128 ,,,26.10 ,35.61 ,0.12 ,,,,
,Standard Light Microscopy,2001-01-31,10.18,-53.93,100,,0.0020 ,0.0020 ,,Hemiaulus,0.000 ,,,26.39 ,36.27 ,0.05 ,,0.40 ,,
,Standard Light Microscopy,2001-02-01,9.32,-51.27,83,,0.6500 ,0.6500 ,,Hemiaulus,2.390 ,,,26.35 ,36.15 ,0.05 ,1.15 ,3.47 ,,
,Standard Light Microscopy,2001-02-02,9.30,-49.60,78,,45.9900 ,45.9900 ,,Hemiaulus,1.743 ,,,25.27 ,35.99 ,0.05 ,1.13 ,0.13 ,,
,Standard Light Microscopy,2001-02-03,9.58,-47.86,68,,33.0000 ,33.0000 ,,Hemiaulus,2.378 ,,,25.35 ,36.08 ,,1.61 ,0.14 ,,
,Standard Light Microscopy,2001-02-04,7.79,-48.58,66,,51.8000 ,51.8000 ,,Hemiaulus,1.552 ,,,25.62 ,35.95 ,0.25 ,2.48 ,0.09 ,,
,Standard Light Microscopy,2001-02-05,6.16,-46.97,100,,1.5000 ,1.5000 ,,Hemiaulus,0.516 ,,,26.48 ,36.25 ,0.05 ,1.19 ,0.44 ,,
,Standard Light Microscopy,2001-02-06,7.29,-45.36,100,,1.1298 ,1.1298 ,,Hemiaulus,0.262 ,,,26.56 ,36.16 ,0.05 ,1.52 ,0.40 ,,
,Standard Light Microscopy,2001-02-07,7.29,-43.33,114,,0.0180 ,0.0180 ,,Hemiaulus,0.309 ,,,26.33 ,36.16 ,0.05 ,1.43 ,0.40 ,,
,Standard Light Microscopy,2001-02-08,8.15,-41.46,90,,2.4300 ,2.4300 ,,Hemiaulus,1.101 ,,,25.06 ,36.00 ,0.05 ,,0.35 ,,
,Standard Light Microscopy,2001-02-09,9.34,-41.97,78,,4.3700 ,4.3700 ,,Hemiaulus,2.003 ,,,25.78 ,36.11 ,0.05 ,1.45 ,0.78 ,,
,Standard Light Microscopy,2001-02-10,11.06,-42.32,74,,2.6300 ,2.6300 ,,Hemiaulus,0.016 ,,,24.64 ,35.69 ,0.05 ,,,,
,Standard Light Microscopy,2001-02-11,10.08,-44.92,70,,30.9000 ,30.9000 ,,Hemiaulus,6.496 ,,,25.67 ,36.17 ,0.05 ,1.73 ,0.32 ,,
,Standard Light Microscopy,2001-02-12,10.00,-44.50,80,,47.3000 ,47.3000 ,,Hemiaulus,5.300 ,,,25.74 ,36.03 ,,,,,
,Standard Light Microscopy,2001-02-13,10.92,-46.94,82,,3.2900 ,3.2900 ,,Hemiaulus,0.102 ,,,24.78 ,35.93 ,0.05 ,1.58 ,0.17 ,,
,Standard Light Microscopy,2001-02-14,9.75,-49.58,70,,41.3000 ,41.3000 ,,Hemiaulus,0.099 ,,,25.35 ,36.06 ,0.05 ,1.50 ,0.27 ,,
,Standard Light Microscopy,2001-02-15,9.08,-51.96,84,,3.7700 ,3.7700 ,,Hemiaulus,6.157 ,,,26.06 ,36.20 ,0.05 ,1.62 ,0.50 ,,
,Standard Light Microscopy,2001-02-16,9.68,-55.41,100,,0.2800 ,0.2800 ,,Hemiaulus,0.170 ,,,26.21 ,36.30 ,0.05 ,1.32 ,0.14 ,,
,Standard Light Microscopy,2001-02-17,11.02,-56.23,110,,15.0000 ,15.0000 ,,Hemiaulus,2.413 ,,,26.06 ,35.90 ,0.05 ,2.13 ,1.30 ,,
,Standard Light Microscopy,2001-02-18,11.50,-55.00,80,,38.0000 ,38.0000 ,,Hemiaulus,4.494 ,,,25.94 ,35.82 ,0.05 ,1.78 ,,,
,Standard Light Microscopy,2001-02-19,11.43,-54.97,80,,23.7000 ,23.7000 ,,Hemiaulus,4.838 ,,,26.12 ,35.88 ,0.05 ,1.79 ,0.22 ,,
,Standard Light Microscopy,2001-02-20,11.32,-55.04,80,,29.1000 ,29.1000 ,,Hemiaulus,4.106 ,,,25.96 ,35.80 ,0.05 ,,,,
,Standard Light Microscopy,2001-07-10,11.23,-50.93,95,,40.0000 ,40.0000 ,,Hemiaulus,0.111 ,,,27.30 ,36.12 ,0.05 ,,,,
,Standard Light Microscopy,2001-07-11,10.64,-48.23,90,,44.0000 ,44.0000 ,,Hemiaulus,0.007 ,,,27.13 ,36.17 ,0.05 ,,,,
,Standard Light Microscopy,2001-07-13,9.90,-45.48,100,,55.0000 ,55.0000 ,,Hemiaulus,0.014 ,,,27.92 ,35.65 ,0.05 ,,,,
,Standard Light Microscopy,2001-07-14,9.93,-45.51,80,,105.0000 ,105.0000 ,,Hemiaulus,0.000 ,,,27.81 ,35.72 ,0.05 ,,,,
,Standard Light Microscopy,2001-07-15,10.40,-45.81,100,,68.5000 ,68.5000 ,,Hemiaulus,0.832 ,,,27.73 ,35.76 ,0.05 ,,,,
,Standard Light Microscopy,2001-08-01,4.62,-42.84,80,,0.4200 ,0.4200 ,,Hemiaulus,2.529 ,,,27.94 ,35.89 ,0.05 ,2.11 ,0.77 ,,
,Standard Light Microscopy,2001-08-02,3.35,-43.31,50,,5.7000 ,5.7000 ,,Hemiaulus,0.263 ,,,27.06 ,36.03 ,0.05 ,1.35 ,0.63 ,,
,Standard Light Microscopy,2001-08-03,3.53,-45.32,55,,3.3000 ,3.3000 ,,Hemiaulus,1.612 ,,,27.55 ,36.20 ,,2.16 ,,,
,Standard Light Microscopy,2003-04-21,10.78,-52.28,105,,106.1378 ,106.1378 ,,Hemiaulus,78.101 ,,,26.67 ,36.06 ,,0.58 ,11.76 ,,
,Standard Light Microscopy,2003-04-22,8.88,-52.00,85,,72.5823 ,72.5823 ,,Hemiaulus,2.357 ,,,26.55 ,36.23 ,,,3.22 ,,
,Standard Light Microscopy,2003-04-24,7.14,-51.50,49,,9.8325 ,9.8325 ,,Hemiaulus,0.718 ,,,27.86 ,35.99 ,0.05 ,1.52 ,4.84 ,,
,Standard Light Microscopy,2003-05-13,10.55,-50.07,130,,40.5018 ,40.5018 ,,Hemiaulus,3.482 ,,,27.16 ,36.04 ,0.05 ,0.17 ,1.99 ,,
,Standard Light Microscopy,2003-05-14,10.44,-48.30,110,,3.7582 ,3.7582 ,,Hemiaulus,3.998 ,,,27.00 ,36.29 ,0.05 ,0.00 ,0.79 ,,
,Standard Light Microscopy,2003-05-15,8.23,-48.49,88,,59.1514 ,59.1514 ,,Hemiaulus,16.091 ,,,27.05 ,36.02 ,0.05 ,0.26 ,1.23 ,,
,Standard Light Microscopy,2003-05-16,7.85,-50.06,89,,64.9011 ,64.9011 ,,Hemiaulus,9.333 ,,,27.07 ,35.68 ,0.05 ,0.30 ,1.29 ,,
"Campbell, L.,  Carpenter, E. J.,  Montoya, J. P.,  Kustka, A. B., and Capone, D. G.:  Picoplankton community structure within and outside a Trichodesmium bloom in the southwestern Pacific Ocean, Vie Milieu, 55, 185–195, 2006.",epifluorescence microscopy ,1998-03-15,-40.00,173.97,120,,,0.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-16,-32.49,170.44,120,,,0.500 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-17,-29.43,169.10,120,,,0.500 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-18,-26.03,167.65,120,,,5.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-19,-22.79,166.32,120,,,45.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-20,-22.45,166.03,120,,,45.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-21,-20.83,163.25,120,,,5.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-22,-15.00,160.99,120,,,20.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-23,-15.06,163.07,120,,,5.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-24,-13.04,162.96,120,,,0.200 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-25,-14.77,164.52,120,,,75.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-26,-16.62,166.20,120,,,20.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-27,-17.19,167.54,120,,,45.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-28,-17.66,169.10,120,,,5.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-29,-17.94,171.71,120,,,0.500 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-30,-18.35,175.01,120,,,0.500 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-03-31,-18.64,176.81,120,,,5.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-01,-18.81,177.10,120,,,20.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-02,-18.35,178.38,120,,,75.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-03,-18.06,176.99,120,,,0.500 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-04,-16.96,176.87,120,,,75.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-05,-15.98,179.59,120,,,15.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-06,-14.19,-171.78,120,,,0.500 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-07,-13.90,-172.76,120,,,5.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-08,-13.73,-174.48,120,,,0.500 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-09,-13.96,-176.90,120,,,0.500 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-10,-14.77,-176.55,120,,,0.500 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-11,-16.33,-175.58,120,,,0.500 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-12,-17.48,-175.12,120,,,0.500 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-13,-18.87,-174.48,120,,,5.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-14,-19.10,-175.12,120,,,5.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-15,-19.79,-174.83,120,,,5.000 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
,epifluorescence microscopy ,1998-04-16,-19.39,-173.91,120,,,0.500 ,,,,,,,,,,,,"Acurate year and month, day is estimated, data is estimated by Color point"
Tenório et al. (2018),Standard Light Microscopy,2001 Oct,-20.85,167.0,60,,,16.30 ,,,,,,,,,,,,
,Standard Light Microscopy,2001 Dec,-20.85,167.0,60,,,44.70 ,,,,,,,,,,,,
doi: doi.org/10.3354/ame01873,Standard Light Microscopy,2002 Apr,-20.85,167.0,60,,,16.00 ,,,,,,,,,,,,
,Standard Light Microscopy,2002 May,-20.85,167.0,60,,,26.00 ,,,,,,,,,,,,
data read from fig. 4,Standard Light Microscopy,2003 Feb,-20.85,167.0,60,,,73.00 ,,,,,,,,,,,,
,Standard Light Microscopy,2001 Oct,-21.5,167.0,60,,,11.60 ,,,,,,,,,,,,
,Standard Light Microscopy,2001 Dec,-21.5,167.0,60,,,35.80 ,,,,,,,,,,,,
,Standard Light Microscopy,2002 Jan,-21.5,167.0,60,,,36.80 ,,,,,,,,,,,,
,Standard Light Microscopy,2002 Apr,-21.5,167.0,60,,,17.40 ,,,,,,,,,,,,
,Standard Light Microscopy,2002 May,-21.5,167.0,60,,,9.60 ,,,,,,,,,,,,
,Standard Light Microscopy,2002 Aug,-21.5,167.0,60,,,1.90 ,,,,,,,,,,,,
,Standard Light Microscopy,2003 Feb,-21.5,167.0,60,,,235.00 ,,,,,,,,,,,,
,Standard Light Microscopy,2003 Jun,-21.5,167.0,60,,,48.50 ,,,,,,,,,,,,
,Standard Light Microscopy,2001 Oct,-21.9,116.7,30,,,0.90 ,,,,,,,,,,,,
,Standard Light Microscopy,2001 Dec,-21.9,116.7,30,,,3.84 ,,,,,,,,,,,,
,Standard Light Microscopy,2002 Jan,-21.9,116.7,30,,,13.49 ,,,,,,,,,,,,
,Standard Light Microscopy,2002 May,-21.9,116.7,30,,,4.55 ,,,,,,,,,,,,
,Standard Light Microscopy,2002 Aug,-21.9,116.7,30,,,0.60 ,,,,,,,,,,,,
,Standard Light Microscopy,2003 Oct,-21.9,116.7,30,,,0.96 ,,,,,,,,,,,,
"Mompean, C. et al 2016, doi:10.1093/plankt/fbt011",Fluid Imaging Technologies ,12/26/2010,14.5,-26.0,200,,,0.01 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,12/29/2010,7.3,-26.0,200,,,0.06 ,,,,,,,,,,,,
data from the author,Fluid Imaging Technologies ,12/31/2010,2.5,-26.0,200,,,0.01 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,1/2/2011,-3.0,-27.3,200,,,0.01 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,1/31/2011,-30.9,1.0,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2/13/2011,-35.1,25.6,200,,,0.01 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2/14/2011,-34.8,27.5,200,,,0.24 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2/15/2011,-34.4,31.1,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2/16/2011,-34.2,33.7,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2/17/2011,-33.9,37.0,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2/18/2011,-33.5,39.9,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2/19/2011,-33.2,43.2,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2/23/2011,-28.0,63.2,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2/25/2011,-28.1,66.5,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2/26/2011,-29.4,69.4,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2/27/2011,-29.6,72.4,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,2/28/2011,-29.9,76.1,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/1/2011,-29.8,79.6,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/2/2011,-29.8,82.6,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/3/2011,-29.8,86.3,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/4/2011,-29.7,89.5,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/5/2011,-29.6,93.0,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/6/2011,-29.6,96.4,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/7/2011,-29.9,100.0,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/8/2011,-30.3,103.3,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/9/2011,-30.8,107.2,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/10/2011,-31.1,110.2,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/11/2011,-31.6,113.4,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/12/2011,-31.5,113.4,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/18/2011,-36.6,120.8,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/19/2011,-37.4,124.9,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/20/2011,-37.9,127.8,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/21/2011,-38.5,131.5,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/22/2011,-39.2,135.2,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/23/2011,-39.8,138.8,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/24/2011,-40.5,142.5,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/25/2011,-39.3,146.6,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/27/2011,-38.7,150.4,200,,,0.01 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,3/28/2011,-36.7,151.0,200,,,0.00 ,,,,,,,,,,,,
,Fluid Imaging Technologies ,4/17/2011,-34.1,176.0,200,,,0.00 ,,,,,,,,,,,,
